index,feel,look,name,smell,taste
337,"{'malty': 3, 'carbonation': 3, 'flavor': 3}","{'look': 2, 'golden': 2, 'orange': 2}","Saint Rieul Triple","{'fruit': 3, 'yeast': 3, 'sweet': 3}","{'bubble': 2, 'nice': 2, 'banana': 2}"
338,"{'carbonation': 48, 'medium': 45, 'light': 32}","{'golden': 69, 'white': 58, 'pours': 48}","3 Monts Flanders Golden Ale","{'nose': 73, 'malt': 56, 'like': 51}","{'like': 37, 'malt': 31, 'sweet': 29}"
339,"{'feel': 15, 'carbonation': 14, 'medium': 11}","{'pours': 15, 'golden': 12, 'white': 11}","La Blonde D'Esquelbecq / Thiriez Blonde","{'nose': 25, 'hop': 17, 'yeast': 16}","{'sweet': 13, 'hop': 11, 'like': 11}"
340,"{'bodied': 4, 'finish': 4, 'time': 3}","{'white': 5, 'medium': 4, 'wet': 3}",L'Amalthée,"{'hop': 8, 'light': 7, 'citrus': 6}","{'dry': 5, 'sweet': 4, 'like': 3}"
341,"{'medium': 19, 'carbonation': 16, 'feel': 14}","{'white': 17, 'golden': 13, 'amber': 13}","3 Monts Amber Ale On Lees","{'nose': 23, 'malt': 19, 'light': 15}","{'yeast': 9, 'fruit': 9, 'apple': 8}"
342,"{'carbonation': 32, 'light': 19, 'feel': 18}","{'white': 23, 'pours': 19, 'hazy': 17}","Flandre-Kent Les Frères De La Bière / Thiriez XXtra","{'hop': 57, 'nose': 32, 'earthy': 21}","{'hop': 27, 'malt': 10, 'flavor': 10}"
343,"{'carbonation': 20, 'medium': 17, 'light': 15}","{'look': 14, 'pours': 14, 'white': 14}","Cuvée Des Jonquilles","{'yeast': 18, 'nose': 16, 'malt': 14}","{'like': 11, 'malt': 9, 'sweet': 9}"
344,"{'light': 18, 'smooth': 13, 'carbonation': 13}","{'golden': 25, 'pours': 20, 'clear': 20}","Les Bière Des Sans Culottes","{'nose': 35, 'light': 20, 'sweet': 20}","{'flavor': 18, 'malt': 12, 'light': 11}"
345,"{'medium': 5, 'dark': 4, 'body': 4}","{'amber': 6, 'clear': 6, 'dark': 5}","Herold Granat","{'sweet': 5, 'malt': 4, 'caramel': 3}","{'sweet': 5, 'caramel': 4, 'malt': 4}"
346,"{'bit': 2, 'feel': 2, 'malt': 2}","{'clear': 2, 'amber': 2, 'white': 2}","Queen Bohemian Rhapsody","{'malt': 5, 'also': 2, 'best': 2}","{'malt': 3, 'slightly': 2, 'hop': 2}"
347,"{'taste': 4, 'light': 3, 'coffee': 2}","{'dark': 7, 'brown': 6, 'pours': 5}","Breznak Schwarzbier","{'malt': 7, 'dark': 6, 'roasted': 6}","{'roasted': 8, 'malt': 7, 'coffee': 5}"
348,"{'feel': 3, 'sweet': 3, 'caramel': 3}","{'deep': 3, 'brown': 3, 'dark': 3}","X-Beer 33","{'fruit': 5, 'dark': 4, 'malt': 4}","{'alcohol': 5, 'caramel': 3, 'complex': 3}"
349,"{'malt': 4, 'carbonation': 3, 'flavor': 3}","{'clear': 5, 'golden': 5, 'pours': 4}","Samson Budweiser Bier Premium","{'malt': 8, 'hop': 8, 'nose': 7}","{'sweet': 8, 'hop': 6, 'finish': 6}"
350,"{'quite': 3, 'full': 2, 'almost': 2}","{'clear': 4, 'pours': 3, 'copper': 2}",Demon,"{'malt': 6, 'hop': 5, 'caramel': 3}","{'malt': 3, 'strong': 2, 'hoppy': 2}"
351,"{'carbonation': 5, 'feel': 3, 'light': 3}","{'clear': 6, 'golden': 3, 'white': 3}","Konrad Jocker Svìtlý Leák 14°","{'nose': 6, 'grass': 4, 'malt': 4}","{'hop': 5, 'malt': 4, 'bread': 3}"
352,"{'sweet': 9, 'caramel': 7, 'medium': 6}","{'dark': 9, 'like': 5, 'brown': 4}","Primator Dark Lager","{'caramel': 11, 'malt': 10, 'sweet': 9}","{'malt': 11, 'sweet': 11, 'caramel': 7}"
353,"{'medium': 3, 'bodied': 3, 'sweet': 2}","{'golden': 4, 'l': 2, 'clear': 2}","Krušovice Mušketýr","{'sweet': 4, 'hop': 4, 'note': 3}","{'hop': 4, 'bitterness': 4, 'malty': 3}"
354,"{'feel': 17, 'medium': 16, 'carbonation': 13}","{'golden': 18, 'look': 15, 'clear': 13}","Primátor Maibock","{'malt': 30, 'hop': 25, 'nose': 24}","{'sweet': 24, 'hop': 23, 'malt': 21}"
355,"{'feel': 5, 'texture': 3, 'taste': 3}","{'brown': 4, 'u': 3, 'medv': 3}",Oldgott,"{'malt': 5, 'caramel': 4, 'nose': 4}","{'caramel': 4, 'oak': 4, 'finish': 4}"
356,"{'feel': 4, 'malt': 3, 'carbonation': 3}","{'brown': 5, 'dark': 4, 'beige': 3}","Samson Budweiser Bier Černý","{'malt': 6, 'bread': 4, 'roasted': 4}","{'bit': 4, 'little': 4, 'sweet': 3}"
357,"{'carbonation': 2, 'hop': 2, 'bitterness': 2}","{'amber': 3, 'white': 3, 'nice': 3}","Master Polotmavý 13°","{'malt': 10, 'nose': 6, 'sweet': 5}","{'almost': 4, 'flavor': 3, 'caramel': 2}"
358,"{'malt': 7, 'feel': 6, 'smooth': 5}","{'dark': 6, 'brown': 6, 'deep': 6}","Lobkowicz Baron","{'malt': 24, 'sweet': 19, 'nose': 13}","{'sweet': 10, 'malt': 8, 'caramel': 7}"
359,"{'carbonation': 3, 'medium': 2, 'bodied': 2}","{'medium': 4, 'carbonation': 3, 'l': 2}","Svijanský Máz 11%","{'hop': 4, 'grassy': 3, 'malty': 3}","{'lager': 3, 'malt': 2, 'water': 2}"
360,"{'carbonation': 5, 'bit': 5, 'medium': 4}","{'dark': 13, 'clear': 5, 'brown': 5}","Staropramen Černý","{'caramel': 12, 'roasted': 11, 'malt': 11}","{'roasted': 7, 'light': 6, 'caramel': 6}"
361,"{'light': 22, 'feel': 17, 'dark': 16}","{'dark': 26, 'brown': 14, 'light': 9}","Budweiser Budvar Czech Dark Lager","{'dark': 34, 'malt': 30, 'roasted': 24}","{'malt': 19, 'dark': 18, 'roasted': 13}"
362,"{'medium': 2, 'light': 2, 'body': 2}","{'deep': 2, 'amber': 2, 'dark': 2}","Staropramen Velvet","{'malt': 3, 'hops': 2, 'nose': 2}","{'good': 2, 'bit': 2, 'lager': 2}"
363,"{'light': 16, 'carbonation': 16, 'medium': 11}","{'dark': 24, 'brown': 15, 'deep': 8}","Kozel Cerny (Kozel Dark) Velckopopovicky","{'malt': 33, 'sweet': 19, 'caramel': 19}","{'malt': 20, 'caramel': 13, 'chocolate': 13}"
364,"{'feel': 7, 'crisp': 5, 'medium': 4}","{'white': 9, 'golden': 7, 'clear': 6}","Lobkowicz Knight","{'nose': 6, 'hop': 6, 'malt': 6}","{'hop': 5, 'little': 5, 'like': 4}"
365,"{'feel': 4, 'sweet': 3, 'light': 3}","{'dark': 5, 'brown': 4, 'pours': 3}","Granát - BrouCzech Dark","{'caramel': 6, 'sweet': 3, 'malt': 3}","{'malty': 4, 'sweet': 2, 'sulfur': 2}"
366,"{'decent': 3, 'carbonation': 2, 'feel': 2}","{'white': 5, 'golden': 5, 'gold': 4}","Lobkowicz Prince","{'sweet': 6, 'nose': 5, 'fruity': 4}","{'hop': 4, 'nice': 4, 'sweet': 3}"
367,"{'sweet': 7, 'light': 6, 'feel': 4}","{'dark': 8, 'brown': 4, 'ruby': 4}","Podkovan Dark","{'malt': 6, 'sweet': 5, 'grape': 5}","{'sweet': 7, 'malty': 4, 'hint': 3}"
368,"{'clean': 2, 'style': 2, 'malty': 1}","{'dark': 3, 'ruby': 2, 'brown': 2}","Dark Lager (Tmavý Leák)","{'malt': 5, 'dark': 5, 'hop': 3}","{'tasting': 3, 'malty': 2, 'similar': 2}"
369,"{'side': 4, 'carbonation': 3, 'lager': 3}","{'clear': 4, 'nice': 4, 'lacing': 3}","Klaster Winter Beer","{'nose': 7, 'malt': 6, 'sweet': 5}","{'malt': 5, 'clean': 3, 'good': 3}"
370,"{'malt': 3, 'medium': 3, 'hop': 2}","{'amber': 5, 'clear': 3, 'deep': 2}","Primátor Polotmavý Märzen","{'malt': 7, 'hop': 3, 'toasted': 3}","{'malt': 5, 'sweet': 3, 'hop': 3}"
371,"{'good': 2, 'finish': 2, 'feel': 2}","{'novom': 3, 'stsk': 3, 'tap': 2}","New Town 11° Light Lager","{'light': 4, 'malt': 3, 'bit': 3}","{'like': 2, 'light': 2, 'bit': 2}"
372,"{'carbonation': 6, 'wheat': 6, 'light': 5}","{'white': 7, 'pours': 6, 'golden': 6}","Herold Bohemian Wheat Lager","{'banana': 22, 'nose': 14, 'clove': 12}","{'banana': 8, 'flavor': 6, 'sweet': 6}"
373,"{'feel': 14, 'dark': 14, 'malt': 13}","{'dark': 25, 'brown': 19, 'black': 12}","Bernard Cerne (Dark)","{'dark': 20, 'malt': 20, 'note': 11}","{'malt': 15, 'dark': 14, 'chocolate': 10}"
374,"{'enough': 3, 'slight': 3, 'feel': 3}","{'enough': 2, 'lacing': 2, 'mahogany': 2}","Svijanská Kněžna 13%","{'malt': 7, 'like': 6, 'sweet': 5}","{'caramel': 4, 'dark': 4, 'malt': 4}"
375,"{'medium': 15, 'carbonation': 14, 'light': 11}","{'brown': 20, 'dark': 19, 'pours': 10}","Žatec Dark Lager","{'malt': 28, 'dark': 26, 'nose': 17}","{'dark': 9, 'sweet': 8, 'malt': 8}"
376,"{'nice': 4, 'medium': 4, 'thin': 3}","{'golden': 6, 'glass': 2, 'hazy': 2}","Eggenberg Svetlý Lezák (Premium Lager)","{'hop': 6, 'malt': 5, 'light': 3}","{'malt': 4, 'hop': 3, 'location': 3}"
377,"{'bit': 4, 'medium': 3, 'flavor': 3}","{'coffee': 11, 'brown': 5, 'black': 4}","Kávové Pivo","{'coffee': 19, 'like': 3, 'dark': 3}","{'coffee': 7, 'dark': 2, 'balanced': 2}"
378,"{'carbonation': 8, 'medium': 6, 'light': 6}","{'golden': 6, 'yellow': 6, 'cloudy': 6}","Primátor Weizenbier","{'banana': 14, 'clove': 10, 'orange': 6}","{'banana': 10, 'clove': 7, 'wheat': 5}"
379,"{'hop': 5, 'medium': 3, 'feel': 3}","{'hop': 4, 'hazy': 3, 'pale': 3}","Štěpán - český Klasický Ležák Světlý","{'hop': 4, 'nose': 3, 'slightly': 2}","{'good': 3, 'quite': 2, 'malty': 2}"
380,"{'malt': 10, 'light': 7, 'finish': 6}","{'golden': 8, 'pours': 8, 'yellow': 7}","Premium Lager / Kláster Svetlý Special 14%","{'hop': 17, 'malt': 14, 'sweet': 8}","{'hop': 13, 'sweet': 11, 'malt': 9}"
381,"{'nose': 1, 'really': 1, 'nothing': 1}","{'like': 5, 'guinness': 2, 'brown': 2}","Staropramen Kelt Original Stout","{'nose': 3, 'caramel': 3, 'nothing': 2}","{'like': 2, 'coffee': 2, 'sweet': 2}"
382,"{'carbonation': 5, 'easy': 4, 'medium': 3}","{'dark': 8, 'brown': 5, 'colour': 2}","Master Tmavy","{'malt': 6, 'hint': 4, 'caramel': 4}","{'caramel': 4, 'alcohol': 4, 'like': 3}"
383,"{'smooth': 4, 'medium': 3, 'carbonation': 3}","{'pours': 3, 'fairly': 2, 'slightly': 2}","Bernard Bohemian Ale","{'malt': 5, 'fruity': 4, 'banana': 4}","{'hint': 4, 'banana': 3, 'coriander': 3}"
384,"{'feel': 6, 'bodied': 5, 'full': 5}","{'dark': 9, 'black': 6, 'nice': 5}","Porter Boom","{'malt': 11, 'sweet': 8, 'dark': 6}","{'sweet': 13, 'little': 6, 'malt': 5}"
385,"{'creamy': 5, 'dark': 3, 'smooth': 2}","{'l': 3, 'lacing': 2, 'mahogany': 2}","Master Tmavý 18°","{'dark': 8, 'malt': 5, 'like': 4}","{'well': 3, 'malt': 3, 'like': 3}"
386,"{'carbonation': 16, 'medium': 15, 'feel': 11}","{'black': 20, 'dark': 14, 'brown': 12}","Herold Bohemian Black Lager","{'malt': 28, 'chocolate': 25, 'roasted': 17}","{'chocolate': 17, 'malt': 16, 'roasted': 14}"
387,"{'unfiltered': 1, 'unpasteurized': 1, 'version': 1}","{'hazy': 3, 'golden': 2, 'thick': 2}","Pilsner Urquell Nefiltrovaný","{'hop': 7, 'floral': 5, 'malt': 5}","{'hop': 5, 'bitterness': 2, 'saaz': 2}"
388,"{'hop': 4, 'malt': 4, 'czech': 3}","{'dark': 2, 'gold': 2, 'tap': 2}","Koutská 12° Dvanáctka","{'nose': 9, 'malt': 8, 'hop': 7}","{'well': 3, 'flavor': 2, 'dry': 2}"
389,"{'feel': 6, 'medium': 4, 'great': 4}","{'dark': 13, 'black': 8, 'brown': 7}","U Fleku Dark Lager","{'malt': 13, 'chocolate': 10, 'roasted': 9}","{'sweet': 7, 'dark': 5, 'coffee': 5}"
390,"{'feel': 6, 'carbonation': 3, 'medium': 2}","{'clear': 4, 'golden': 4, 'decent': 4}","Tuatara Ardenne","{'yeast': 8, 'orange': 5, 'spice': 5}","{'spicy': 4, 'orange': 4, 'yeast': 3}"
391,"{'carbonation': 3, 'would': 2, 'slightly': 2}","{'poured': 2, 'cherry': 2, 'tart': 2}",Boysenbeery,"{'berry': 11, 'tart': 7, 'sweet': 6}","{'tart': 3, 'fruity': 2, 'slightly': 2}"
392,"{'dark': 3, 'easy': 3, 'chocolate': 3}","{'light': 2, 'low': 2, 'black': 1}","Invercargill Pitch Black Black Beer","{'coffee': 6, 'roasted': 5, 'chocolate': 5}","{'chocolate': 4, 'dark': 3, 'roasted': 3}"
393,"{'feel': 8, 'carbonation': 4, 'alcohol': 4}","{'orange': 2, 'bottle': 2, 'look': 2}","Golden Tusk","{'like': 6, 'hops': 4, 'malt': 4}","{'bit': 3, 'finish': 3, 'sweet': 3}"
394,"{'medium': 5, 'carbonation': 5, 'light': 4}","{'clear': 3, 'amber': 2, 'carbonation': 2}",Voyager,"{'malt': 10, 'hop': 9, 'nose': 5}","{'malt': 6, 'fruit': 4, 'note': 3}"
395,"{'medium': 10, 'feel': 9, 'carbonation': 7}","{'amber': 7, 'copper': 5, 'white': 5}","Moa 5 Hop Ale","{'hop': 15, 'sweet': 11, 'malt': 10}","{'hop': 10, 'malt': 10, 'sweet': 4}"
396,"{'carbonation': 4, 'decent': 2, 'sip': 2}","{'great': 3, 'pumpkin': 3, 'spice': 3}","Enlightenment Great Punkin","{'pumpkin': 9, 'spice': 8, 'malt': 6}","{'pumpkin': 11, 'well': 4, 'caramel': 4}"
397,"{'feel': 4, 'medium': 3, 'carbonation': 3}","{'overall': 2, 'little': 2, 'body': 1}","The Rogue Hop","{'hop': 7, 'hoppy': 5, 'floral': 4}","{'hop': 3, 'grainy': 2, 'bread': 2}"
398,"{'smooth': 2, 'carbonation': 2, 'banana': 2}","{'shabby': 1, 'hefe': 1, 'fruit': 1}","Tuatara Weiz Guy","{'banana': 10, 'clove': 6, 'vanilla': 6}","{'banana': 5, 'hefe': 3, 'little': 3}"
399,"{'light': 7, 'medium': 4, 'carbonation': 4}","{'white': 3, 'lager': 2, 'way': 2}","Tuatara Helluva","{'malt': 8, 'hop': 6, 'light': 6}","{'like': 6, 'malt': 4, 'light': 4}"
400,"{'oak': 6, 'carbonation': 5, 'feel': 4}","{'brown': 4, 'red': 4, 'pours': 3}","Mighty Imperial Ale","{'smoke': 9, 'oak': 9, 'caramel': 8}","{'oak': 8, 'smoke': 7, 'caramel': 7}"
401,"{'feel': 3, 'moderate': 3, 'carbonation': 3}","{'glass': 3, 'like': 3, 'bit': 3}","Monteith's Doppelbock","{'toffee': 3, 'malt': 3, 'dark': 3}","{'caramel': 3, 'roasted': 3, 'malt': 3}"
402,"{'carbonation': 6, 'bodied': 5, 'medium': 5}","{'golden': 5, 'hazy': 4, 'pours': 2}","Moa Blanc Evolution","{'wheat': 11, 'coriander': 8, 'lemon': 7}","{'orange': 6, 'wheat': 6, 'lemon': 5}"
403,"{'medium': 6, 'light': 5, 'carbonation': 5}","{'dark': 4, 'black': 3, 'brown': 3}","Black Mac","{'malt': 10, 'roasted': 9, 'nose': 7}","{'roasted': 3, 'malt': 3, 'caramel': 3}"
404,"{'malt': 5, 'light': 4, 'carbonation': 3}","{'brown': 4, 'pours': 4, 'deep': 3}","Speight's Old Dark","{'malt': 6, 'hop': 3, 'low': 2}","{'sweet': 2, 'say': 2, 'malt': 2}"
405,"{'nice': 9, 'bitter': 5, 'carbonation': 4}","{'nice': 3, 'look': 3, 'glass': 3}","Sassy Red","{'hop': 18, 'nose': 9, 'malt': 8}","{'hop': 9, 'bitter': 8, 'malt': 7}"
406,"{'medium': 7, 'hop': 6, 'full': 4}","{'amber': 4, 'white': 3, 'lot': 3}","Moa 5 Hop - Winter Ale","{'hop': 13, 'caramel': 8, 'nose': 6}","{'hop': 12, 'malt': 5, 'bitter': 3}"
407,"{'carbonation': 8, 'feel': 5, 'smooth': 5}","{'dark': 9, 'nice': 6, 'poured': 5}","Monteith's Doppelbock Winter Ale","{'malt': 11, 'chocolate': 7, 'nose': 6}","{'malt': 8, 'chocolate': 8, 'dark': 6}"
408,"{'thing': 2, 'one': 2, 'spicy': 2}","{'brown': 3, 'poured': 2, 'bottle': 2}","Taieri George","{'cinnamon': 7, 'nose': 4, 'clove': 4}","{'spice': 3, 'even': 2, 'one': 2}"
409,"{'rye': 3, 'carbonation': 3, 'cherry': 3}","{'look': 1, 'one': 1, 'gush': 1}","Porter's Rye Ale","{'chocolate': 5, 'spicy': 4, 'nose': 4}","{'dark': 4, 'toffee': 4, 'cherry': 3}"
410,"{'light': 4, 'medium': 4, 'dark': 3}","{'brown': 3, 'dark': 2, 'red': 2}","Monteith's Barrel Aged Porter","{'dark': 5, 'chocolate': 4, 'hint': 4}","{'chocolate': 5, 'dark': 3, 'pinot': 3}"
411,"{'malt': 2, 'caramel': 2, 'toffee': 2}","{'bottle': 2, 'hazy': 2, 'amber': 2}",Perfection,"{'malt': 4, 'toffee': 4, 'note': 3}","{'caramel': 3, 'malt': 3, 'dry': 2}"
412,"{'feel': 3, 'clean': 3, 'medium': 3}","{'look': 5, 'bright': 3, 'golden': 3}",xeRRex,"{'peat': 4, 'smoke': 4, 'nose': 4}","{'flavour': 3, 'lot': 3, 'smoke': 3}"
413,"{'dark': 6, 'thin': 5, 'little': 5}","{'look': 3, 'porter': 3, 'like': 2}","Tuatara Porter","{'chocolate': 8, 'dark': 8, 'malt': 6}","{'chocolate': 6, 'dark': 4, 'hint': 3}"
414,"{'carbonation': 11, 'light': 10, 'crisp': 7}","{'golden': 7, 'look': 6, 'clear': 6}","Mac's Hop Rocker Pilsener","{'hop': 28, 'citrus': 11, 'nose': 9}","{'hop': 14, 'nice': 8, 'sweet': 6}"
415,"{'carbonation': 15, 'medium': 14, 'hop': 9}","{'pours': 8, 'orange': 8, 'yellow': 6}","Digital IPA","{'nose': 15, 'hop': 14, 'malt': 12}","{'hop': 15, 'sweet': 7, 'bitter': 6}"
416,"{'earl': 7, 'carbonation': 6, 'dry': 6}","{'white': 6, 'pours': 6, 'orange': 6}",Gunnamatta,"{'tea': 30, 'floral': 13, 'nose': 12}","{'tea': 22, 'earl': 16, 'grey': 16}"
417,"{'carbonation': 37, 'medium': 22, 'dark': 21}","{'black': 40, 'dark': 28, 'brown': 23}","Moa Imperial Stout (Aged In Pinot Noir Barrels)","{'chocolate': 58, 'dark': 56, 'nose': 48}","{'dark': 34, 'chocolate': 27, 'malt': 24}"
418,"{'light': 9, 'grassy': 7, 'crisp': 6}","{'pours': 5, 'clear': 4, 'yellow': 4}","Epic Lager","{'grassy': 9, 'hop': 8, 'malt': 8}","{'slight': 4, 'hop': 4, 'flavor': 4}"
419,"{'style': 4, 'crisp': 3, 'quite': 3}","{'carbonation': 2, 'croucher': 1, 'pilsner': 1}","New Zealand Pilsner","{'hop': 8, 'malt': 6, 'little': 6}","{'bit': 3, 'nice': 3, 'quite': 3}"
420,"{'medium': 19, 'light': 17, 'carbonation': 17}","{'dark': 17, 'brown': 17, 'black': 16}","Pot Kettle Black","{'malt': 30, 'hop': 22, 'chocolate': 20}","{'malt': 17, 'roasted': 15, 'hop': 15}"
421,"{'medium': 9, 'carbonation': 6, 'body': 5}","{'copper': 4, 'look': 3, 'bit': 2}",1812,"{'hop': 16, 'malt': 9, 'citrus': 8}","{'hop': 12, 'malt': 7, 'finish': 6}"
422,"{'brown': 12, 'malt': 9, 'carbonation': 9}","{'brown': 18, 'dark': 10, 'good': 7}",Rewired,"{'caramel': 19, 'malt': 14, 'nose': 11}","{'brown': 14, 'hop': 11, 'malt': 11}"
423,"{'feel': 6, 'medium': 6, 'smooth': 6}","{'cloudy': 6, 'orange': 6, 'amber': 6}","Moa Pale Ale","{'hop': 15, 'malt': 9, 'light': 6}","{'hop': 10, 'malt': 7, 'pale': 5}"
424,"{'carbonation': 15, 'medium': 14, 'light': 12}","{'hazy': 10, 'pours': 9, 'white': 8}","Moa Methode","{'hop': 19, 'malt': 16, 'nose': 12}","{'malt': 8, 'yeast': 8, 'hop': 8}"
425,"{'smooth': 3, 'get': 3, 'bourbon': 3}","{'deep': 4, 'pours': 3, 'brown': 3}","Harringtons Big John Special Reserve","{'nose': 6, 'dark': 4, 'hint': 4}","{'malt': 4, 'slightly': 3, 'bourbon': 3}"
426,"{'carbonation': 16, 'hop': 15, 'feel': 14}","{'like': 9, 'look': 7, 'nice': 7}",M.P.A,"{'hop': 20, 'fruit': 16, 'malt': 12}","{'hop': 23, 'malt': 16, 'caramel': 7}"
427,"{'chocolate': 18, 'medium': 17, 'carbonation': 15}","{'black': 12, 'brown': 12, 'dark': 8}",Craftsman,"{'chocolate': 51, 'dark': 22, 'roasted': 21}","{'chocolate': 25, 'coffee': 13, 'roasted': 11}"
428,"{'nice': 5, 'pils': 4, 'body': 4}","{'golden': 5, 'white': 4, 'look': 4}","Epic Larger","{'hop': 10, 'malt': 6, 'nice': 5}","{'hop': 6, 'nice': 5, 'malt': 4}"
429,"{'carbonation': 9, 'medium': 8, 'bodied': 5}","{'pours': 5, 'golden': 4, 'clear': 3}","Epic Barrel Aged IPA","{'hop': 11, 'oak': 7, 'note': 6}","{'hop': 7, 'tropical': 4, 'start': 3}"
430,"{'feel': 14, 'medium': 9, 'carbonation': 9}","{'dark': 6, 'brown': 6, 'black': 4}","Epicurean Fig & Coffee","{'coffee': 23, 'malt': 12, 'nose': 11}","{'coffee': 14, 'fig': 5, 'malt': 4}"
431,"{'medium': 3, 'hoppy': 2, 'nice': 2}","{'dark': 3, 'email': 3, 'ml': 2}",Patriot,"{'fruit': 3, 'piney': 3, 'hops': 3}","{'malt': 3, 'bitter': 2, 'hop': 2}"
432,"{'carbonation': 5, 'light': 4, 'medium': 3}","{'white': 6, 'hazy': 3, 'lacing': 3}","Hippy Berliner","{'sour': 8, 'hop': 7, 'fruit': 6}","{'sour': 4, 'hop': 4, 'tropical': 3}"
433,"{'light': 5, 'smooth': 4, 'decent': 4}","{'glass': 3, 'light': 3, 'apa': 3}","Tuatara APA","{'hop': 10, 'fruit': 7, 'nice': 7}","{'hop': 7, 'well': 4, 'orange': 4}"
434,"{'carbonation': 66, 'medium': 60, 'porter': 43}","{'dark': 76, 'brown': 74, 'light': 41}","London Porter","{'chocolate': 143, 'malt': 129, 'coffee': 104}","{'chocolate': 88, 'malt': 64, 'coffee': 57}"
435,"{'carbonation': 12, 'medium': 7, 'feel': 7}","{'amber': 7, 'pours': 6, 'clear': 5}","Epic Mayhem","{'hop': 18, 'malt': 12, 'orange': 11}","{'hop': 12, 'malt': 9, 'caramel': 9}"
436,"{'medium': 24, 'carbonation': 16, 'bodied': 13}","{'white': 16, 'golden': 16, 'gold': 10}","Moa St Josephs","{'yeast': 23, 'spice': 18, 'nose': 17}","{'sweet': 15, 'spice': 14, 'malt': 13}"
437,"{'medium': 21, 'carbonation': 18, 'malt': 15}","{'dark': 16, 'brown': 12, 'look': 9}",Stonecutter,"{'malt': 37, 'caramel': 31, 'nose': 21}","{'malt': 24, 'caramel': 20, 'note': 14}"
438,"{'carbonation': 21, 'medium': 18, 'body': 12}","{'dark': 13, 'brown': 13, 'black': 11}","The Big Smoke","{'smoke': 41, 'malt': 30, 'chocolate': 25}","{'malt': 13, 'smoke': 12, 'smoked': 11}"
439,"{'carbonation': 32, 'medium': 29, 'malt': 21}","{'amber': 26, 'look': 22, 'pours': 21}","Pale Ale","{'malt': 55, 'hop': 44, 'nose': 38}","{'hop': 32, 'malt': 30, 'citrus': 19}"
440,"{'feel': 6, 'body': 6, 'carbonation': 6}","{'white': 3, 'new': 3, 'hazy': 2}","Tuatara KAPAI","{'hop': 12, 'citrus': 10, 'pine': 8}","{'hop': 11, 'bitter': 5, 'citrus': 5}"
441,"{'carbonation': 6, 'medium': 6, 'nice': 4}","{'straw': 8, 'white': 6, 'clear': 5}","Tuatara Mot Eureka","{'hop': 17, 'nose': 13, 'grassy': 8}","{'hop': 9, 'grassy': 8, 'saaz': 5}"
442,"{'feel': 2, 'medium': 2, 'creamy': 2}","{'look': 2, 'light': 2, 'copper': 2}",APA,"{'hop': 6, 'big': 4, 'piney': 3}","{'hop': 2, 'malt': 2, 'background': 2}"
443,"{'medium': 5, 'carbonation': 3, 'coffee': 3}","{'coffee': 6, 'black': 4, 'dark': 3}","Flat White Coffee Milk Stout","{'coffee': 13, 'chocolate': 5, 'vanilla': 5}","{'coffee': 10, 'vanilla': 5, 'malt': 5}"
444,"{'carbonation': 5, 'medium': 4, 'fruit': 3}","{'hazy': 4, 'poured': 3, 'white': 3}","Pernicious Weed","{'orange': 8, 'citrus': 8, 'hop': 6}","{'bitter': 6, 'orange': 6, 'citrus': 5}"
445,"{'chocolate': 12, 'carbonation': 10, 'nice': 10}","{'dark': 11, 'black': 11, 'brown': 8}",Elemental,"{'chocolate': 27, 'coffee': 26, 'nose': 17}","{'chocolate': 15, 'coffee': 15, 'roasted': 14}"
446,"{'medium': 9, 'carbonation': 6, 'feel': 5}","{'pours': 5, 'copper': 4, 'dark': 4}","Fresh Hopwired","{'hop': 15, 'nose': 12, 'malt': 7}","{'hop': 12, 'malt': 6, 'well': 5}"
447,"{'medium': 26, 'carbonation': 21, 'finish': 18}","{'golden': 14, 'orange': 12, 'pours': 11}","Saison Sauvin","{'nose': 25, 'hop': 17, 'fruity': 15}","{'light': 11, 'hop': 11, 'tropical': 10}"
448,"{'light': 4, 'feel': 3, 'one': 2}","{'amber': 4, 'carbonation': 3, 'fairly': 2}","Death From Above","{'mango': 5, 'citrus': 5, 'hop': 5}","{'hop': 5, 'dominant': 4, 'grapefruit': 4}"
449,"{'medium': 11, 'carbonation': 10, 'body': 9}","{'amber': 9, 'light': 7, 'golden': 6}","Epic Pale Ale","{'hop': 30, 'nose': 17, 'pine': 15}","{'hop': 15, 'flavor': 12, 'malt': 11}"
450,"{'medium': 3, 'smell': 3, 'wow': 3}","{'big': 1, 'citrus': 1, 'bomb': 1}",C!tra,"{'hop': 6, 'nose': 3, 'could': 3}","{'hop': 3, 'orange': 3, 'pineapple': 3}"
451,"{'hop': 6, 'carbonation': 5, 'hoppy': 3}","{'hop': 6, 'well': 4, 'little': 4}","Tuatara Double Trouble","{'hop': 15, 'pine': 10, 'malt': 9}","{'pine': 6, 'pineapple': 5, 'hop': 5}"
452,"{'medium': 11, 'feel': 10, 'carbonation': 9}","{'white': 6, 'amber': 5, 'pours': 5}","Super Conductor","{'nose': 16, 'hop': 15, 'grapefruit': 10}","{'hop': 10, 'malt': 9, 'pine': 8}"
453,"{'carbonation': 27, 'feel': 25, 'medium': 24}","{'pours': 18, 'clear': 18, 'white': 17}","Epic Armageddon IPA","{'hop': 42, 'nose': 33, 'citrus': 30}","{'hop': 40, 'malt': 20, 'pine': 18}"
